1932,Conference placeholder,1932 American League Team Standings 1932 Team Standings | 1932 World Series,1932 American League Team Standings 1932 Team Standings | 1932 World Series,Strike Splits placeholder,Ties placeholder,1932 American League Team Standings 1932 Team Standings | 1932 World Series,1932 American League Team Standings 1932 Team Standings | 1932 World Series,1932 American League Team Standings 1932 Team Standings | 1932 World Series,Payroll placeholder
1932,Conference placeholder,Team | Roster,Wins,Strike Splits placeholder,Ties placeholder,Losses,WP,GB,Payroll placeholder
1932,Conference placeholder,New York Yankees,107,Strike Splits placeholder,Ties placeholder,47,.695,0,Payroll placeholder
1932,Conference placeholder,Philadelphia Athletics,94,Strike Splits placeholder,Ties placeholder,60,.610,13,Payroll placeholder
1932,Conference placeholder,Washington Senators,93,Strike Splits placeholder,Ties placeholder,61,.604,14,Payroll placeholder
1932,Conference placeholder,Cleveland Indians,87,Strike Splits placeholder,Ties placeholder,65,.572,19,Payroll placeholder
1932,Conference placeholder,Detroit Tigers,76,Strike Splits placeholder,Ties placeholder,75,.503,29½,Payroll placeholder
1932,Conference placeholder,St. Louis Browns,63,Strike Splits placeholder,Ties placeholder,91,.409,44,Payroll placeholder
1932,Conference placeholder,Chicago White Sox,49,Strike Splits placeholder,Ties placeholder,102,.325,56½,Payroll placeholder
1932,Conference placeholder,Boston Red Sox,43,Strike Splits placeholder,Ties placeholder,111,.279,64,Payroll placeholder
1932,Conference placeholder,Team | Roster,Wins,Strike Splits placeholder,Ties placeholder,Losses,WP,GB,Payroll placeholder
1932,Conference placeholder,1932 American League Standings,1932 American League Standings,Strike Splits placeholder,Ties placeholder,1932 American League Standings,1932 American League Standings,1932 American League Standings,Payroll placeholder
1935,Conference placeholder,1935 American League Team Standings 1935 All-Star Game | 1935 Team Standings | 1935 World Series,1935 American League Team Standings 1935 All-Star Game | 1935 Team Standings | 1935 World Series,Strike Splits placeholder,Ties placeholder,1935 American League Team Standings 1935 All-Star Game | 1935 Team Standings | 1935 World Series,1935 American League Team Standings 1935 All-Star Game | 1935 Team Standings | 1935 World Series,1935 American League Team Standings 1935 All-Star Game | 1935 Team Standings | 1935 World Series,Payroll placeholder
1935,Conference placeholder,Team | Roster,W,Strike Splits placeholder,Ties placeholder,L,WP,GB,Payroll placeholder
1935,Conference placeholder,Detroit Tigers,93,Strike Splits placeholder,Ties placeholder,58,.616,0,Payroll placeholder
1935,Conference placeholder,New York Yankees,89,Strike Splits placeholder,Ties placeholder,60,.597,3,Payroll placeholder
1935,Conference placeholder,Cleveland Indians,82,Strike Splits placeholder,Ties placeholder,71,.536,12,Payroll placeholder
1935,Conference placeholder,Boston Red Sox,78,Strike Splits placeholder,Ties placeholder,75,.510,16,Payroll placeholder
1935,Conference placeholder,Chicago White Sox,74,Strike Splits placeholder,Ties placeholder,78,.487,19½,Payroll placeholder
1935,Conference placeholder,Washington Senators,67,Strike Splits placeholder,Ties placeholder,86,.438,27,Payroll placeholder
1935,Conference placeholder,St. Louis Browns,65,Strike Splits placeholder,Ties placeholder,87,.428,28½,Payroll placeholder
1935,Conference placeholder,Philadelphia Athletics,58,Strike Splits placeholder,Ties placeholder,91,.389,34,Payroll placeholder
1935,Conference placeholder,Team | Roster,W,Strike Splits placeholder,Ties placeholder,L,WP,GB,Payroll placeholder
1935,Conference placeholder,1935 American League Team Standings,1935 American League Team Standings,Strike Splits placeholder,Ties placeholder,1935 American League Team Standings,1935 American League Team Standings,1935 American League Team Standings,Payroll placeholder
1936,Conference placeholder,1936 American League Team Standings 1936 All-Star Game | 1936 Team Standings | 1936 World Series,1936 American League Team Standings 1936 All-Star Game | 1936 Team Standings | 1936 World Series,Strike Splits placeholder,Ties placeholder,1936 American League Team Standings 1936 All-Star Game | 1936 Team Standings | 1936 World Series,1936 American League Team Standings 1936 All-Star Game | 1936 Team Standings | 1936 World Series,1936 American League Team Standings 1936 All-Star Game | 1936 Team Standings | 1936 World Series,Payroll placeholder
1936,Conference placeholder,Team | Roster,Wins,Strike Splits placeholder,Ties placeholder,Losses,WP,GB,Payroll placeholder
1936,Conference placeholder,New York Yankees,102,Strike Splits placeholder,Ties placeholder,51,.667,0,Payroll placeholder
1936,Conference placeholder,Detroit Tigers,83,Strike Splits placeholder,Ties placeholder,71,.539,19½,Payroll placeholder
1936,Conference placeholder,Chicago White Sox,81,Strike Splits placeholder,Ties placeholder,70,.536,20,Payroll placeholder
1936,Conference placeholder,Washington Senators,82,Strike Splits placeholder,Ties placeholder,71,.536,20,Payroll placeholder
1936,Conference placeholder,Cleveland Indians,80,Strike Splits placeholder,Ties placeholder,74,.519,22½,Payroll placeholder
1936,Conference placeholder,Boston Red Sox,74,Strike Splits placeholder,Ties placeholder,80,.481,28½,Payroll placeholder
1936,Conference placeholder,St. Louis Browns,57,Strike Splits placeholder,Ties placeholder,95,.375,44½,Payroll placeholder
1936,Conference placeholder,Philadelphia Athletics,53,Strike Splits placeholder,Ties placeholder,100,.346,49,Payroll placeholder
1936,Conference placeholder,Team | Roster,Wins,Strike Splits placeholder,Ties placeholder,Losses,WP,GB,Payroll placeholder
1936,Conference placeholder,1936 American League Standings,1936 American League Standings,Strike Splits placeholder,Ties placeholder,1936 American League Standings,1936 American League Standings,1936 American League Standings,Payroll placeholder
1941,Conference placeholder,1941 American League Team Standings 1941 All-Star Game | 1941 Team Standings | 1941 World Series,1941 American League Team Standings 1941 All-Star Game | 1941 Team Standings | 1941 World Series,Strike Splits placeholder,Ties placeholder,1941 American League Team Standings 1941 All-Star Game | 1941 Team Standings | 1941 World Series,1941 American League Team Standings 1941 All-Star Game | 1941 Team Standings | 1941 World Series,1941 American League Team Standings 1941 All-Star Game | 1941 Team Standings | 1941 World Series,Payroll placeholder
1941,Conference placeholder,Team | Roster,W,Strike Splits placeholder,Ties placeholder,L,WP,GB,Payroll placeholder
1941,Conference placeholder,New York Yankees,101,Strike Splits placeholder,Ties placeholder,53,.656,0,Payroll placeholder
1941,Conference placeholder,Boston Red Sox,84,Strike Splits placeholder,Ties placeholder,70,.545,17,Payroll placeholder
1941,Conference placeholder,Chicago White Sox,77,Strike Splits placeholder,Ties placeholder,77,.500,24,Payroll placeholder
1941,Conference placeholder,Detroit Tigers,75,Strike Splits placeholder,Ties placeholder,79,.487,26,Payroll placeholder
1941,Conference placeholder,Cleveland Indians,75,Strike Splits placeholder,Ties placeholder,79,.487,26,Payroll placeholder
1941,Conference placeholder,Washington Senators,70,Strike Splits placeholder,Ties placeholder,84,.455,31,Payroll placeholder
1941,Conference placeholder,St. Louis Browns,70,Strike Splits placeholder,Ties placeholder,84,.455,31,Payroll placeholder
1941,Conference placeholder,Philadelphia Athletics,64,Strike Splits placeholder,Ties placeholder,90,.416,37,Payroll placeholder
1941,Conference placeholder,Team | Roster,W,Strike Splits placeholder,Ties placeholder,L,WP,GB,Payroll placeholder
1941,Conference placeholder,1941 American League Team Standings,1941 American League Team Standings,Strike Splits placeholder,Ties placeholder,1941 American League Team Standings,1941 American League Team Standings,1941 American League Team Standings,Payroll placeholder
1951,Conference placeholder,1951 American League Team Standings 1951 All-Star Game | 1951 Team Standings | 1951 World Series,1951 American League Team Standings 1951 All-Star Game | 1951 Team Standings | 1951 World Series,Strike Splits placeholder,Ties placeholder,1951 American League Team Standings 1951 All-Star Game | 1951 Team Standings | 1951 World Series,1951 American League Team Standings 1951 All-Star Game | 1951 Team Standings | 1951 World Series,1951 American League Team Standings 1951 All-Star Game | 1951 Team Standings | 1951 World Series,Payroll placeholder
1951,Conference placeholder,Team [Click for roster],Wins,Strike Splits placeholder,Ties placeholder,Losses,WP,GB,Payroll placeholder
1951,Conference placeholder,New York Yankees,98,Strike Splits placeholder,Ties placeholder,56,.636,0,Payroll placeholder
1951,Conference placeholder,Cleveland Indians,93,Strike Splits placeholder,Ties placeholder,61,.604,5,Payroll placeholder
1951,Conference placeholder,Boston Red Sox,87,Strike Splits placeholder,Ties placeholder,67,.565,11,Payroll placeholder
1951,Conference placeholder,Chicago White Sox,81,Strike Splits placeholder,Ties placeholder,73,.526,17,Payroll placeholder
1951,Conference placeholder,Detroit Tigers,73,Strike Splits placeholder,Ties placeholder,81,.474,25,Payroll placeholder
1951,Conference placeholder,Philadelphia Athletics,70,Strike Splits placeholder,Ties placeholder,84,.455,28,Payroll placeholder
1951,Conference placeholder,Washington Senators,62,Strike Splits placeholder,Ties placeholder,92,.403,36,Payroll placeholder
1951,Conference placeholder,St. Louis Browns,52,Strike Splits placeholder,Ties placeholder,102,.338,46,Payroll placeholder
