Year,Statistic Name,Name(s),Team(s),Statistic Value
1924,On Base Percentage,Babe Ruth,New York,0.513
1924,RBI,Goose Goslin,Washington,129.0
1924,Runs,Babe Ruth,New York,143.0
1924,Slugging Average,Babe Ruth,New York,0.739
1924,Stolen Bases,Eddie Collins,Chicago,42.0
1924,Total Bases,Babe Ruth,New York,391.0
1924,Triples,Wally Pipp,New York,19.0
1925,Base on Balls,Willie Kamm,Chicago,90.0
1925,Base on Balls,Johnny Mostil,Chicago,90.0
1925,Batting Average,Harry Heilmann,Detroit,0.393
1925,Doubles,Marty McManus,St. Louis,44.0
1925,Hits,Al Simmons,Philadelphia,253.0
1925,Home Runs,Bob Meusel,New York,33.0
1925,On Base Percentage,Tris Speaker,Cleveland,0.479
1925,RBI,Bob Meusel,New York,138.0
1925,Runs,Johnny Mostil,Chicago,135.0
1925,Slugging Average,Ken Williams,St. Louis,0.613
1925,Stolen Bases,Johnny Mostil,Chicago,43.0
1925,Total Bases,Al Simmons,Philadelphia,392.0
1925,Triples,Goose Goslin,Washington,20.0
1926,Base on Balls,Babe Ruth,New York,144.0
1926,Batting Average,Heinie Manush,Detroit,0.378
1926,Doubles,George Burns,Cleveland,64.0
1926,Hits,Sam Rice,Washington,216.0
1926,Home Runs,Babe Ruth,New York,47.0
1926,On Base Percentage,Babe Ruth,New York,0.516
1926,RBI,Babe Ruth,New York,146.0
1926,Runs,Babe Ruth,New York,139.0
1926,Slugging Average,Babe Ruth,New York,0.737
1926,Stolen Bases,Johnny Mostil,Chicago,35.0
1926,Total Bases,Babe Ruth,New York,365.0
1926,Triples,Babe Ruth,New York,20.0
1927,Base on Balls,Babe Ruth,New York,137.0
1927,Batting Average,Harry Heilmann,Detroit,0.398
1927,Doubles,Lou Gehrig,New York,52.0
1927,Hits,Earle Combs,New York,231.0
1927,Home Runs,Babe Ruth,New York,60.0
1927,On Base Percentage,Babe Ruth,New York,0.486
1927,RBI,Lou Gehrig,New York,175.0
1927,Runs,Babe Ruth,New York,158.0
1927,Slugging Average,Babe Ruth,New York,0.772
1927,Stolen Bases,George Sisler,St. Louis,27.0
1927,Total Bases,Lou Gehrig,New York,447.0
1927,Triples,Earle Combs,New York,23.0
1928,Base on Balls,Babe Ruth,New York,137.0
1928,Batting Average,Goose Goslin,Washington,0.379
1928,Doubles,Lou Gehrig,New York,47.0
1928,Doubles,Henie Manush,St. Louis,47.0
1928,Hits,Henie Manush,St. Louis,241.0
1928,Home Runs,Babe Ruth,New York,54.0
1928,On Base Percentage,Lou Gehrig,New York,0.467
1928,RBI,Lou Gehrig,New York,142.0
1928,RBI,Babe Ruth,New York,142.0
1928,Runs,Babe Ruth,New York,163.0
1928,Slugging Average,Babe Ruth,New York,0.709
1928,Stolen Bases,Buddy Myer,Boston,30.0
1928,Total Bases,Babe Ruth,New York,380.0
1928,Triples,Earle Combs,New York,21.0
1929,Base on Balls,Max Bishop,Philadelphia,128.0
1929,Batting Average,Lew Fonseca,Cleveland,0.369
1929,Doubles,Charlie Gehringer,Detroit,45.0
1929,Doubles,Roy Johnson,Detroit,45.0
1929,Doubles,Henie Manush,St. Louis,45.0
1929,Hits,Dale Alexander,Detroit,215.0
1929,Hits,Charlie Gehringer,Detroit,215.0
1929,Home Runs,Babe Ruth,New York,46.0
1929,On Base Percentage,Jimmie Foxx,Philadelphia,0.463
1929,RBI,Al Simmons,Philadelphia,157.0
1929,Runs,Charlie Gehringer,Detroit,131.0
1929,Slugging Average,Babe Ruth,New York,0.697
1929,Stolen Bases,Charlie Gehringer,Detroit,27.0
1929,Total Bases,Al Simmons,Philadelphia,373.0
1929,Triples,Charlie Gehringer,Detroit,19.0
1930,Base on Balls,Babe Ruth,New York,136.0
1930,Batting Average,Al Simmons,Philadelphia,0.381
1930,Doubles,Johnny Hodapp,Cleveland,51.0
1930,Hits,Johnny Hodapp,Cleveland,225.0
1930,Home Runs,Babe Ruth,New York,49.0
1930,On Base Percentage,Babe Ruth,New York,0.493
1930,RBI,Lou Gehrig,New York,174.0
1930,Runs,Al Simmons,Philadelphia,152.0
1930,Slugging Average,Babe Ruth,New York,0.732
1930,Stolen Bases,Marty McManus,Detroit,23.0
1930,Total Bases,Lou Gehrig,New York,419.0
1930,Triples,Earle Combs,New York,22.0
1931,Base on Balls,Babe Ruth,New York,128.0
